Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۲۲۰٬۰۰۰,1383,سرمه‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,اتوماتیک,نقدی,۱۳۰٬۰۰۰٬۰۰۰ تومان
۱۸۸٬۰۰۰,1394,خاکستری,سالم,سالم و پلمپ,ضربه‌خورده,رنگ‌شدگی,۴ ماه,دنده‌ای,نقدی
۹۷٬۰۰۰,2011,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۶۴۱٬۰۰۰٬۰۰۰ تومان
۱۱۷٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی,۳۲۰٬۰۰۰٬۰۰۰ تومان
۲۰٬۰۰۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۲۹۰٬۰۰۰٬۰۰۰ تومان
۴۳٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۳۵۶٬۰۰۰٬۰۰۰ تومان
۱۴٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,۱۸۷٬۰۰۰٬۰۰۰ تومان
۱۸۵٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۴۰٬۰۰۰,1395,قهوه‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,اتوماتیک,نقدی,۴۹۱٬۰۰۰٬۰۰۰ تومان
۹۰٬۰۰۰,1397,بادمجانی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۵۱٬۰۰۰٬۰۰۰ تومان
۲۸۵٬۰۰۰,1386,نوک‌مدادی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی,۱۳۵٬۰۰۰٬۰۰۰ تومان
۷۲٬۵۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,۳۶۳٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,۱٬۳۳۰٬۰۰۰٬۰۰۰ تومان
۹۵٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۸۹٬۰۰۰٬۰۰۰ تومان
۹۰٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۶٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۵۶۰٬۰۰۰٬۰۰۰ تومان
۲۶۰٬۰۰۰,1384,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,۷۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی و قسطی,۸۸۸٬۰۰۰٬۰۰۰ تومان
۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی و قسطی,۲۹۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی و قسطی,۲۰۶٬۵۰۰٬۰۰۰ تومان
۴۰٬۰۰۰,1381,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی,۶۵٬۰۰۰٬۰۰۰ تومان
۱۰۵,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی و قسطی,۳۹۵٬۵۰۰٬۰۰۰ تومان
۰,1401,قرمز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی و قسطی,۱٬۱۶۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی و قسطی,۳۶۹٬۰۰۰٬۰۰۰ تومان
۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی و قسطی,۳۲۰٬۵۰۰٬۰۰۰ تومان
۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۳۹۳٬۰۰۰٬۰۰۰ تومان
۵۵٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,"نقدی, قابل معاوضه",برای معاوضه
۱۷۰٬۰۰۰,1393,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,غیرقابل نمایش
۳۶۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی و قسطی,۲۷۶٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی و قسطی,۳۴۷٬۰۰۰٬۰۰۰ تومان
۸۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۵۲٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی و قسطی,۲۰۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی و قسطی,۳۶۴٬۰۰۰٬۰۰۰ تومان
